,Brand,Model,Engine Capacity (CC),Transmission Type,Year,Features
0,Toyota,Corolla,1600,Automatic,2020,[]
1,Suzuki,Dzire,1000 - 1300,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags']"
2,MG,MG 5,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
3,Skoda,Superb,1400 - 1500,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
4,Audi,A3,1400 - 1500,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
5,Citroen,C5,1600,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
6,Mercedes-Benz,S500,2200 - 2800,Automatic,2014,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
7,Land Rover,Range Rover Sport SVR,More than 3000,Automatic,2022,"['Alarm/Anti-Theft System', 'AM/FM Radio', 'Bluetooth System', 'Keyless Start', 'Off-Road Tyres', 'Power Locks', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Roof Rack', 'Touch Screen', 'USB Charger']"
8,Mercedes-Benz,GLS,More than 3000,Automatic,2023,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Sunroof', 'Touch Screen', 'USB Charger']"
9,Citroen,C5,,Automatic,2023,[]
10,Jetour,X95,1600,Automatic,2022,"['ABS', 'Air Conditioning', 'Airbags', 'Alarm/Anti-Theft System', 'AM/FM Radio', 'Aux Audio In', 'Bluetooth System', 'Cruise Control', 'EBD', 'Fog Lights', 'Keyless Start', 'Leather Seats', 'Navigation System', 'Off-Road Tyres', 'Parking Sensors', 'Power Locks', 'Power Mirrors', 'Power Seats', 'Power Steering', 'Power Windows', 'Premium Wheels/Rims', 'Rear View Camera', 'Roof Rack', 'Sunroof', 'Touch Screen', 'USB Charger']"
11,GMC,Pickup,2200 - 2800,Manual,2023,[]
12,Nissan,Sentra,1600,Automatic,2023,[]
13,Lada,Granta,1600,Manual,2023,[]
14,Renault,Megane,1600,Automatic,2016,[]
15,Land Rover,Range Rover,1800 - 2000,Automatic,2013,[]
16,Hyundai,Accent,1600,Automatic,2010,[]
17,Nissan,Qashqai,1000 - 1300,Automatic,2016,[]
18,Land Rover,Evoque,1800 - 2000,Automatic,2023,[]
